Article,Cs,FA,MA,Pb,I,Br,Perovskite,structure,bandgap,substrate,ETL,ETL-2,ETLthickness,HTL,HTLthickness,electrode,depositionProcedure,depositionMethod,Anti-solvent,PrecursorSolvent,AnnealingTemperature,AnnealingTime,Jsc,Voc,FF,PCE
"SINGH R, SANDHU S, YADAV H, et al. Stable Triple-Cation (Cs+–MA+–FA+) Perovskite Powder Formation under Ambient Conditions for Hysteresis-Free High-Efficiency Solar Cells [J]. ACS Applied Materials & Interfaces, 2019, 11(33): 29941-9.",0.0,0.83,0.17,1.0,2.49,0.51,FA0.83MA0.17PbI2.49Br0.51,1,,FTO,TiO2,,60.0,spiro,80.0,Au,two-step,spin,CB,DMF/DMSO,110.0,60.0,8.507,1.02,0.4096,3.57
"SINGH R, SANDHU S, YADAV H, et al. Stable Triple-Cation (Cs+–MA+–FA+) Perovskite Powder Formation under Ambient Conditions for Hysteresis-Free High-Efficiency Solar Cells [J]. ACS Applied Materials & Interfaces, 2019, 11(33): 29941-9.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05FA0.7885MA0.1615PbI2.49Br0.51,1,,FTO,TiO2,,60.0,spiro,80.0,Au,two-step,spin,CB,DMF/DMSO,110.0,60.0,16.94,1.06,0.5784,10.42
"SINGH R, SANDHU S, YADAV H, et al. Stable Triple-Cation (Cs+–MA+–FA+) Perovskite Powder Formation under Ambient Conditions for Hysteresis-Free High-Efficiency Solar Cells [J]. ACS Applied Materials & Interfaces, 2019, 11(33): 29941-9.",0.08,0.7636,0.1564,1.0,2.49,0.51,Cs0.08FA0.7636MA0.1564PbI2.49Br0.51,1,,FTO,TiO2,,60.0,spiro,80.0,Au,two-step,spin,CB,DMF/DMSO,110.0,60.0,21.05,1.09,0.6731,15.58
"SINGH R, SANDHU S, YADAV H, et al. Stable Triple-Cation (Cs+–MA+–FA+) Perovskite Powder Formation under Ambient Conditions for Hysteresis-Free High-Efficiency Solar Cells [J]. ACS Applied Materials & Interfaces, 2019, 11(33): 29941-9.",0.1,0.747,0.153,1.0,2.49,0.51,Cs0.1FA0.747MA0.153PbI2.49Br0.51,1,,FTO,TiO2,,60.0,spiro,80.0,Au,two-step,spin,CB,DMF/DMSO,110.0,60.0,19.11,1.06,0.6374,12.55
"SINGH R, SANDHU S, YADAV H, et al. Stable Triple-Cation (Cs+–MA+–FA+) Perovskite Powder Formation under Ambient Conditions for Hysteresis-Free High-Efficiency Solar Cells [J]. ACS Applied Materials & Interfaces, 2019, 11(33): 29941-9.",0.15,0.7055,0.1445,1.0,2.49,0.51,Cs0.15FA0.7055MA0.1445PbI2.49Br0.51,1,,FTO,TiO2,,60.0,spiro,80.0,Au,two-step,spin,CB,DMF/DMSO,110.0,60.0,18.57,0.98,0.6123,11.27
"SINGH R, SANDHU S, YADAV H, et al. Stable Triple-Cation (Cs+–MA+–FA+) Perovskite Powder Formation under Ambient Conditions for Hysteresis-Free High-Efficiency Solar Cells [J]. ACS Applied Materials & Interfaces, 2019, 11(33): 29941-9.",0.2,0.664,0.136,1.0,2.49,0.51,Cs0.2FA0.664MA0.136PbI2.49Br0.51,1,,FTO,TiO2,,60.0,spiro,80.0,Au,two-step,spin,CB,DMF/DMSO,110.0,60.0,17.11,0.95,0.5499,8.92
"SHAN X, WANG S, FU M, et al. Precisely preparing lead iodide passivation layer for enhancing the performance of triple cation perovskite solar cells using krypton fluoride excimer laser [J]. Journal of Power Sources, 2023, 555: 232368.",0.08,0.8004,0.1196,1.0,2.641,0.3588,FA0.8004Pb0.8004I2.401MA0.1196Pb0.1196Br0.3588Cs0.08Pb0.08I0.24,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Cu,two-step,spin,CB,DMF/DMSO,100.0,60.0,24.13,1.1,0.676,17.82
"LI T, ZHANG Y, FANG L, et al. Surface polymerization of melamine resin on a perovskite: enhancing the efficiency and stability of solar cells [J]. Journal of Materials Chemistry A, 2023, 11(28): 15269-76.",0.05,0.875,0.075,1.03,2.835,0.225,Cs0.05Pb0.05I0.15MA0.075Pb0.075Br0.225FA0.875Pb0.875I2.625Pb0.03I0.06,1,,FTO,c-TiO2,mp-TiO2,,TBTA[6]H/TBPHTFSI,,Au,two-step,spin,CB,DMF/DMSO,120.0,60.0,24.47,1.1,0.779,21.0
"LI T, ZHANG Y, FANG L, et al. Surface polymerization of melamine resin on a perovskite: enhancing the efficiency and stability of solar cells [J]. Journal of Materials Chemistry A, 2023, 11(28): 15269-76.",0.05,0.875,0.075,1.03,2.835,0.225,Cs0.05Pb0.05I0.15MA0.075Pb0.075Br0.225FA0.875Pb0.875I2.625Pb0.03I0.06,1,,FTO,c-TiO2,mp-TiO2,,TBTA[6]H/TBPHTFSI,,Au,two-step,spin,CB,DMF/DMSO/MF,120.0,60.0,24.57,1.13,0.8,22.2
"SEO Y-H, KIM J H, KIM D-H, et al. In situ TEM observation of the heat–induced degradation of single– and triple–cation planar perovskite solar cells [J]. Nano Energy, 2020, 77: 105164.",0.175,0.75,0.075,1.0,2.64,0.36,Cs0.175FA0.750MA0.075PbI2.64Br0.36,0,,ITO,NiOx,,,PCBM/ZnO,,Ag,two-step,spin,CB,DMF/DMSO,100.0,30.0,21.24,1.09,0.7757,18.14
"LI Y, WANG Z, REN D, et al. SnS Quantum Dots as Hole Transporter of Perovskite Solar Cells [J]. ACS Applied Energy Materials, 2019, 2(5): 3822-9.",0.05,0.79,0.16,1.0,3.0,0.0, Cs0.05Pb0.05I0.15FA0.79Pb0.79I2.37MA0.16Pb0.16I0.48,1,,FTO,c-TiO2,mp-TiO2,,SnS,,Au,two-step,spin,CB,DMF/DMSO/CsI,100.0,60.0,22.96,0.944,0.633,13.72
"M. Najafi, F. Di Giacomo, D. Zhang, S. Shanmugam, A. Senes, W. Verhees, A. Hadipour, Y. Galagan, T. Aernouts, S. Veenstra, R. Andriessen, Small 2018, 14, 1702775. ",0.05,0.7885,0.1615,1.0,2.7,0.3,Cs0.05MA0.1615FA0.7885PbI2.7Br0.3,0,,ITO,PCBM,ZnO,25.0,NiOx,25.0,Al,two-step,spin,CB,DMF/DMSO,100.0,10.0,22.2,1.023,0.82,17.7
"M. Najafi, F. Di Giacomo, D. Zhang, S. Shanmugam, A. Senes, W. Verhees, A. Hadipour, Y. Galagan, T. Aernouts, S. Veenstra, R. Andriessen, Small 2018, 14, 1702775. ",0.05,0.7885,0.1615,1.0,2.7,0.3,Cs0.05MA0.1615FA0.7885PbI2.7Br0.3,0,,PEN/ITO,PCBM,ZnO,26.0,NiOx,26.0,Al,two-step,spin,CB,DMF/DMSO,100.0,10.0,21.2,1.027,0.76,16.1
"M. Najafi, F. Di Giacomo, D. Zhang, S. Shanmugam, A. Senes, W. Verhees, A. Hadipour, Y. Galagan, T. Aernouts, S. Veenstra, R. Andriessen, Small 2018, 14, 1702775. ",0.05,0.7885,0.1615,1.0,2.7,0.3,Cs0.05MA0.1615FA0.7885PbI2.7Br0.3,0,,ITO,PCBM,ZnO,25.0,NiOx,10.0,Al,two-step,spin,CB,DMF/DMSO,100.0,10.0,21.9,0.878,0.68,13.0
"M. Najafi, F. Di Giacomo, D. Zhang, S. Shanmugam, A. Senes, W. Verhees, A. Hadipour, Y. Galagan, T. Aernouts, S. Veenstra, R. Andriessen, Small 2018, 14, 1702775. ",0.05,0.7885,0.1615,1.0,2.7,0.3,Cs0.05MA0.1615FA0.7885PbI2.7Br0.3,0,,ITO,PCBM,ZnO,25.0,NiOx,45.0,Al,two-step,spin,CB,DMF/DMSO,100.0,10.0,22.2,1.024,0.75,17.0
ALANAZI T I Z. Exploring the Stability of Planar-Architecture Perovskite Solar Cells [J]. 2021.,0.0,0.4,0.6,1.0,3.0,0.0,MA0.6FA0.4PbI3,1,,FTO,TiO2,,,spiro,,Au,one-step,spin,,,,,18.96,0.992,0.692,13.4
ALANAZI T I Z. Exploring the Stability of Planar-Architecture Perovskite Solar Cells [J]. 2021.,0.05,0.79,0.15,1.0,2.45,0.55,Cs0.05FA0.79MA0.15PbI2.45Br0.55,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.43,1.08,0.8048,19.5
"MATHIES F, EGGERS H, RICHARDS B S, et al. Inkjet-Printed Triple Cation Perovskite Solar Cells [J]. ACS Applied Energy Materials, 2018, 1(5): 1834-9.",0.1,0.747,0.153,1.0,2.49,0.51,Cs0.1FA0.747MA0.153PbBr0.51I2.49,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,,Inkjet-Printed,,DMF/DMSO,100.0,60.0,21.5,1.06,0.67,12.9
"Liu, K., Luo, Y., Jin, Y. et al. Moisture-triggered fast crystallization enables efficient and stable perovskite solar cells. Nat Commun 13, 4891 (2022). https://doi.org/10.1038/s41467-022-32482-y",0.05,0.75,0.2,1.0,2.88,0.12,Cs0.05FA0.75MA0.2PbI2.88Br0.12,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,,DMF/DMSO,150.0,15.0,25.19,1.13,0.804,22.97
"Alharbi, E.A., Alyamani, A.Y., Kubicki, D.J. et al. Atomic-level passivation mechanism of ammonium salts enabling highly efficient perovskite solar cells. Nat Commun 10, 3008 (2019). ",0.07,0.9,0.03,1.0,2.76,0.24,FA0.9Cs0.07MA0.03PbI2.76Br0.24,1,,FTO,c-TiO2,mp-TiO2,,spiro,,Au,two-step,spin,CB,DMF/DMSO,150.0,30.0,24.5,1.08,0.76,20.52
"Alharbi, E.A., Alyamani, A.Y., Kubicki, D.J. et al. Atomic-level passivation mechanism of ammonium salts enabling highly efficient perovskite solar cells. Nat Commun 10, 3008 (2019). ",0.07,0.9,0.03,1.0,2.76,0.24,FA0.9Cs0.07MA0.03PbI2.76Br0.24,1,,FTO,c-TiO2,mp-TiO2,,spiro/EAI,,Au,two-step,spin,CB,DMF/DMSO/IPA,150.0,30.0,23.96,1.1,0.76,20.44
"Alharbi, E.A., Alyamani, A.Y., Kubicki, D.J. et al. Atomic-level passivation mechanism of ammonium salts enabling highly efficient perovskite solar cells. Nat Commun 10, 3008 (2019). ",0.07,0.9,0.03,1.0,2.76,0.24,FA0.9Cs0.07MA0.03PbI2.76Br0.24,1,,FTO,c-TiO2,mp-TiO2,,spiro/IAI,,Au,two-step,spin,CB,DMF/DMSO/EAI,150.0,30.0,24.14,1.12,0.81,22.4
"Alharbi, E.A., Alyamani, A.Y., Kubicki, D.J. et al. Atomic-level passivation mechanism of ammonium salts enabling highly efficient perovskite solar cells. Nat Commun 10, 3008 (2019). ",0.07,0.9,0.03,1.0,2.76,0.24,FA0.9Cs0.07MA0.03PbI2.76Br0.24,1,,FTO,c-TiO2,mp-TiO2,,spiro/Gual,,Au,two-step,spin,CB,DMF/DMSO/IAI,150.0,30.0,23.85,1.15,0.79,22.11
"Alharbi, E.A., Alyamani, A.Y., Kubicki, D.J. et al. Atomic-level passivation mechanism of ammonium salts enabling highly efficient perovskite solar cells. Nat Commun 10, 3008 (2019). ",0.07,0.9,0.03,1.0,2.76,0.24,FA0.9Cs0.07MA0.03PbI2.76Br0.24,1,,FTO,c-TiO2,mp-TiO2,,spiro/Gual,,Au,two-step,spin,CB,DMF/DMSO/GuaI,150.0,30.0,24.5,1.12,0.75,21.0
"Alharbi, E.A., Alyamani, A.Y., Kubicki, D.J. et al. Atomic-level passivation mechanism of ammonium salts enabling highly efficient perovskite solar cells. Nat Commun 10, 3008 (2019). ",0.07,0.9,0.03,1.0,2.76,0.24,FA0.9Cs0.07MA0.03PbI2.76Br0.24,1,,FTO,c-TiO2,mp-TiO2,,spiro/Gual,,Au,two-step,spin,CB,DMF/DMSO/EAI/IAI,150.0,30.0,21.97,1.14,0.71,18.1
"Alharbi, E.A., Alyamani, A.Y., Kubicki, D.J. et al. Atomic-level passivation mechanism of ammonium salts enabling highly efficient perovskite solar cells. Nat Commun 10, 3008 (2019). ",0.07,0.9,0.03,1.0,2.76,0.24,FA0.9Cs0.07MA0.03PbI2.76Br0.24,1,,FTO,c-TiO2,mp-TiO2,,spiro/Gual,,Au,two-step,spin,CB,DMF/DMSO/EAI/GuaI,150.0,30.0,22.09,1.11,0.6,14.8
"MURUGESAN V S, MICHAEL R R, JENA A K, et al. Benzodithiophene-thienopyrroledione-thienothiophene-based random copolymeric hole transporting material for perovskite solar cell [J]. Chemical Engineering Journal, 2020, 382: 122830.",0.05,0.8075,0.1425,1.0,2.55,0.45,Cs0.05MA0.1425FA0.8075PbI2.55Br0.45,1,,FTO,c-TiO2,mp-TiO2,,RCP–BTT,,Au,three-step,spin,CB,DMF/DMSO,100.0,60.0,14.68,1.08,0.53,8.45
"MURUGESAN V S, MICHAEL R R, JENA A K, et al. Benzodithiophene-thienopyrroledione-thienothiophene-based random copolymeric hole transporting material for perovskite solar cell [J]. Chemical Engineering Journal, 2020, 382: 122830.",0.05,0.8075,0.1425,1.0,2.55,0.45,Cs0.05MA0.1425FA0.8075PbI2.55Br0.45,1,,FTO,c-TiO2,mp-TiO2,,RCP–BTT/dopant,,Au,three-step,spin,CB,DMF/DMSO,100.0,60.0,19.41,1.09,0.69,14.57
"MURUGESAN V S, MICHAEL R R, JENA A K, et al. Benzodithiophene-thienopyrroledione-thienothiophene-based random copolymeric hole transporting material for perovskite solar cell [J]. Chemical Engineering Journal, 2020, 382: 122830.",0.05,0.8075,0.1425,1.0,2.55,0.45,Cs0.05MA0.1425FA0.8075PbI2.55Br0.45,1,,FTO,c-TiO2,mp-TiO2,,PTB7,,Au,three-step,spin,CB,DMF/DMSO,100.0,60.0,13.65,1.05,0.48,6.91
"MURUGESAN V S, MICHAEL R R, JENA A K, et al. Benzodithiophene-thienopyrroledione-thienothiophene-based random copolymeric hole transporting material for perovskite solar cell [J]. Chemical Engineering Journal, 2020, 382: 122830.",0.05,0.8075,0.1425,1.0,2.55,0.45,Cs0.05MA0.1425FA0.8075PbI2.55Br0.45,1,,FTO,c-TiO2,mp-TiO2,,PTB7/dopant,,Au,three-step,spin,CB,DMF/DMSO,100.0,60.0,18.23,1.06,0.62,12.02
"AKIN S. Boosting the efficiency and stability of perovskite solar cells through facile molecular engineering approaches [J]. Solar Energy, 2020, 199: 136-42.",0.05,0.8075,0.1425,1.0,2.55,0.45,Cs0.05MA0.1425FA0.8075PbI2.55Br0.45,1,,FTO,CsF/SnO2,,,D4TBP/spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.2,1.16,0.76,20.4
"AKIN S. Boosting the efficiency and stability of perovskite solar cells through facile molecular engineering approaches [J]. Solar Energy, 2020, 199: 136-42.",0.05,0.8075,0.1425,1.0,2.55,0.45,Cs0.05MA0.1425FA0.8075PbI2.55Br0.45,1,,FTO,SnO2,,,D4TBP/spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.4,1.13,0.74,19.0
"H. B. Lee, N. Kumar, M. M. Ovhal, Y. J. Kim, Y. M. Song, J.-W. Kang, Dopant-Free, Amorphous–Crystalline Heterophase SnO2 Electron Transport Bilayer Enables >20% Efficiency in Triple-Cation Perovskite Solar Cells. Adv. Funct. Mater. 2020, 30, 2001559.",0.05,0.85,0.15,1.0,2.55,0.45,Cs0.05FA0.85Pb0.85I2.55MA0.15Pb0.15Br0.45,1,,FTO,SG-SnO2,,,spiro,,Ag,two-step,spin,EA/HEX,DMF/DMSO,150.0,20.0,22.74,1.078,0.7324,18.16
"H. B. Lee, N. Kumar, M. M. Ovhal, Y. J. Kim, Y. M. Song, J.-W. Kang, Dopant-Free, Amorphous–Crystalline Heterophase SnO2 Electron Transport Bilayer Enables >20% Efficiency in Triple-Cation Perovskite Solar Cells. Adv. Funct. Mater. 2020, 30, 2001559.",0.05,0.85,0.15,1.0,2.55,0.45,Cs0.05FA0.85Pb0.85I2.55MA0.15Pb0.15Br0.45,1,,FTO,NP-SnO2,,,spiro,,Ag,two-step,spin,EA/HEX,DMF/DMSO,150.0,20.0,22.27,1.098,0.7296,17.95
"H. B. Lee, N. Kumar, M. M. Ovhal, Y. J. Kim, Y. M. Song, J.-W. Kang, Dopant-Free, Amorphous–Crystalline Heterophase SnO2 Electron Transport Bilayer Enables >20% Efficiency in Triple-Cation Perovskite Solar Cells. Adv. Funct. Mater. 2020, 30, 2001559.",0.05,0.85,0.15,1.0,2.55,0.45,Cs0.05FA0.85Pb0.85I2.55MA0.15Pb0.15Br0.45,1,,FTO,Bi-SnO2,,,spiro,,Ag,two-step,spin,EA/HEX,DMF/DMSO,150.0,20.0,23.18,1.118,0.7627,18.49
"CORREA BAENA J P, STEIER L, TRESS W, et al. Highly efficient planar perovskite solar cells through band alignment engineering [J]. Energy & Environmental Science, 2015, 8(10): 2928-34.",0.0,0.85,0.15,1.0,2.55,0.45,FA0.85Pb0.85I2.55MA0.15Pb0.15Br0.45,1,,FTO,ALD-SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,21.3,1.14,0.74,18.4
"ZHANG H, LIU H, LU W, et al. Analysis and suppression of metal-contact-induced degradation in inverted triple cation perovskite solar cells [J]. Materials Letters, 2019, 236: 736-8.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,0,,FTO,PCBM,TiO2/BCP,,PEDOT:PSS,,Ag,,spin,CB,DMF/DMSO,100.0,60.0,20.2,0.86,,13.2
"LA FERRARA V, DE MARIA A, RAMETTA G, et al. The effect of storage cycle on improvement in the photovoltaic parameters of planar triple cation perovskite solar cells [J]. Materials Advances, 2021, 2(16): 5396-405.",0.05,0.8,0.15,1.0,2.5,0.5,Cs0.05FA0.8MA0.15PbI2.5Br0.5,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,CB,DMF/DMSO,100.0,60.0,23.6,1.11,76,19.9
"HAM D S, CHOI W J, YUN H, et al. Influence of Drying Conditions on Device Performances of Antisolvent-Assisted Roll-to-Roll Slot Die-Coated Perovskite Solar Cells [J]. ACS Applied Energy Materials, 2021, 4(8): 7611-21.",0.1,0.765,0.135,1.0,2.55,0.45,Cs0.1MA0.135FA0.765 PbI2.55Br0.45,0,,ITO,SnO2,,,spiro,,Ag,R2R,,CB,DMF/DMSO,,,19.81,0.95,0.7,13.41
"YANG J, LIU X, ZHANG Y, et al. Comprehensive understanding of heat-induced degradation of triple-cation mixed halide perovskite for a robust solar cell [J]. Nano Energy, 2018, 54: 218-26.",0.05,0.7885,0.1615,1.0,2.49,0.51,Cs0.05MA0.1615FA0.7885PbI2.49Br0.51,0,,FTO,PCBM,,,PEDOT:PSS,,Ag,two-step,spin,CB,DMF/DMSO,100.0,60.0,22.28,0.94,0.72,15.06
"Li, N., Tao, S., Chen, Y. et al. Cation and anion immobilization through chemical bonding enhancement with fluorides for stable halide perovskite solar cells. Nat Energy 4, 408–415 (2019). https://doi.org/10.1038/s41560-019-0382-6",0.05,0.54,0.41,1.0,2.94,0.06, Cs0.05FA0.54MA0.41PbI2.94Br0.06,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,,DMF/DMSO,150.0,15.0,24.03,1.095,0.7477,19.68
"Li, N., Tao, S., Chen, Y. et al. Cation and anion immobilization through chemical bonding enhancement with fluorides for stable halide perovskite solar cells. Nat Energy 4, 408–415 (2019). https://doi.org/10.1038/s41560-019-0382-6",0.05,0.54,0.41,1.0,2.94,0.06, Cs0.05FA0.54MA0.41PbI2.94Br0.06,1,,ITO,SnO2,,,spiro,,Au,two-step,spin,,DMF/DMSO/NaF,150.0,15.0,24.23,1.126,0.8035,21.92
"Penpong, K., Seriwatanachai, C., Naikaew, A. et al. Robust perovskite formation via vacuum thermal annealing for indoor perovskite solar cells. Sci Rep 13, 10933 (2023). https://doi.org/10.1038/s41598-023-37155-4",0.0,0.976,0.024,1.0,2.928,0.072,FA0.976MA0.024PbI2.928Br0.072,1,,ITO,SnO2,,,spiro,,Ag,two-step,spin,,DMF/DMSO,150.0,20.0,24.03,1.09,0.6801,18.59
"Penpong, K., Seriwatanachai, C., Naikaew, A. et al. Robust perovskite formation via vacuum thermal annealing for indoor perovskite solar cells. Sci Rep 13, 10933 (2023). https://doi.org/10.1038/s41598-023-37155-4",0.03,0.945,0.025,1.0,2.925,0.075,FA0.945MA0.025Cs0.03PbI2.925Br0.075,1,,ITO,SnO2,,,spiro,,Ag,two-step,spin,,DMF/DMSO,150.0,20.0,24.22,1.12,0.702,19.5
"DONG X, CHEN D, ZHOU J, et al. High crystallization of a multiple cation perovskite absorber for low-temperature stable ZnO solar cells with high-efficiency of over 20% [J]. Nanoscale, 2018, 10(15): 7218-27.",0.05,0.95,0.0,1.0,3.0,0.0,FA0.95Cs0.05PbI3,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,130.0,5.0,19.66,1.12,0.6434,14.17
"DONG X, CHEN D, ZHOU J, et al. High crystallization of a multiple cation perovskite absorber for low-temperature stable ZnO solar cells with high-efficiency of over 20% [J]. Nanoscale, 2018, 10(15): 7218-27.",0.1,0.9,0.0,1.0,3.0,0.0,FA0.9Cs0.1PbI3,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,130.0,5.0,20.36,1.11,0.706,15.96
"DONG X, CHEN D, ZHOU J, et al. High crystallization of a multiple cation perovskite absorber for low-temperature stable ZnO solar cells with high-efficiency of over 20% [J]. Nanoscale, 2018, 10(15): 7218-27.",0.15,0.85,0.0,1.0,3.0,0.0,FA0.85Cs0.15PbI3,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,130.0,5.0,21.4,1.12,0.6969,16.7
"DONG X, CHEN D, ZHOU J, et al. High crystallization of a multiple cation perovskite absorber for low-temperature stable ZnO solar cells with high-efficiency of over 20% [J]. Nanoscale, 2018, 10(15): 7218-27.",0.2,0.8,0.0,1.0,3.0,0.0,FA0.8Cs0.2PbI3,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,130.0,5.0,19.56,1.1,0.6895,14.48
"DONG X, CHEN D, ZHOU J, et al. High crystallization of a multiple cation perovskite absorber for low-temperature stable ZnO solar cells with high-efficiency of over 20% [J]. Nanoscale, 2018, 10(15): 7218-27.",0.25,0.75,0.0,1.0,3.0,0.0,FA0.75Cs0.25PbI3,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,130.0,5.0,19.5,1.1,0.6344,13.61
"DONG X, CHEN D, ZHOU J, et al. High crystallization of a multiple cation perovskite absorber for low-temperature stable ZnO solar cells with high-efficiency of over 20% [J]. Nanoscale, 2018, 10(15): 7218-27.",0.15,0.8,0.05,1.0,3.0,0.0,MA0.05FA0.8Cs0.15PbI3,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,110.0,5.0,22.72,1.12,0.7204,18.33
"DONG X, CHEN D, ZHOU J, et al. High crystallization of a multiple cation perovskite absorber for low-temperature stable ZnO solar cells with high-efficiency of over 20% [J]. Nanoscale, 2018, 10(15): 7218-27.",0.15,0.75,0.1,1.0,3.0,0.0,MA0.1FA0.75Cs0.15PbI3,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,110.0,5.0,23.15,1.13,0.7681,20.09
"DONG X, CHEN D, ZHOU J, et al. High crystallization of a multiple cation perovskite absorber for low-temperature stable ZnO solar cells with high-efficiency of over 20% [J]. Nanoscale, 2018, 10(15): 7218-27.",0.15,0.7,0.15,1.0,3.0,0.0,MA0.15FA0.7Cs0.15PbI3,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,110.0,5.0,23.08,1.13,0.7494,19.54
"DONG X, CHEN D, ZHOU J, et al. High crystallization of a multiple cation perovskite absorber for low-temperature stable ZnO solar cells with high-efficiency of over 20% [J]. Nanoscale, 2018, 10(15): 7218-27.",0.15,0.6,0.25,1.0,3.0,0.0,MA0.25FA0.6Cs0.15PbI3,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,110.0,5.0,22.81,1.12,0.714,18.24
"DONG X, CHEN D, ZHOU J, et al. High crystallization of a multiple cation perovskite absorber for low-temperature stable ZnO solar cells with high-efficiency of over 20% [J]. Nanoscale, 2018, 10(15): 7218-27.",0.0,1.0,0.0,1.0,3.0,0.0,FAPbI3,1,,ITO,ZnO2,,,spiro,,Ag,two-step,spin,CB,DMSO,150.0,5.0,18.82,1.11,0.6284,13.11
"STOLTERFOHT M, WOLFF C M, AMIR Y, et al. Approaching the fill factor Shockley–Queisser limit in stable, dopant-free triple cation perovskite solar cells [J]. Energy & Environmental Science, 2017, 10(6): 1530-9.",0.05,0.7885,0.1615,1.0,2.515,0.4845, Cs0.05Pb0.05I0.15FA0.7885Pb0.7885I2.365MA0.1615Pb0.1615Br0.4845,0,,ITO,C,,,0.05PTAA,,Cu,one-step,spin,diethyl ether,DMF/DMSO,100.0,60.0,21.1,0.94,0.821,16.3
"STOLTERFOHT M, WOLFF C M, AMIR Y, et al. Approaching the fill factor Shockley–Queisser limit in stable, dopant-free triple cation perovskite solar cells [J]. Energy & Environmental Science, 2017, 10(6): 1530-9.",0.05,0.7885,0.1615,1.0,2.515,0.4845, Cs0.05Pb0.05I0.15FA0.7885Pb0.7885I2.365MA0.1615Pb0.1615Br0.4845,0,,ITO,C,,,0.1PTAA,,Cu,one-step,spin,diethyl ether,DMF/DMSO,100.0,60.0,22.2,1.03,0.808,18.4
"STOLTERFOHT M, WOLFF C M, AMIR Y, et al. Approaching the fill factor Shockley–Queisser limit in stable, dopant-free triple cation perovskite solar cells [J]. Energy & Environmental Science, 2017, 10(6): 1530-9.",0.05,0.7885,0.1615,1.0,2.515,0.4845, Cs0.05Pb0.05I0.15FA0.7885Pb0.7885I2.365MA0.1615Pb0.1615Br0.4845,0,,ITO,C,,,0.015PTAA,,Cu,one-step,spin,diethyl ether,DMF/DMSO,100.0,60.0,22.2,1.07,0.798,18.8
"STOLTERFOHT M, WOLFF C M, AMIR Y, et al. Approaching the fill factor Shockley–Queisser limit in stable, dopant-free triple cation perovskite solar cells [J]. Energy & Environmental Science, 2017, 10(6): 1530-9.",0.05,0.7885,0.1615,1.0,2.515,0.4845, Cs0.05Pb0.05I0.15FA0.7885Pb0.7885I2.365MA0.1615Pb0.1615Br0.4845,0,,ITO,C,,,0.033PTAA,,Cu,one-step,spin,diethyl ether,DMF/DMSO,100.0,60.0,22,1.08,0.753,17.8
"STOLTERFOHT M, WOLFF C M, AMIR Y, et al. Approaching the fill factor Shockley–Queisser limit in stable, dopant-free triple cation perovskite solar cells [J]. Energy & Environmental Science, 2017, 10(6): 1530-9.",0.05,0.7885,0.1615,1.0,2.515,0.4845, Cs0.05Pb0.05I0.15FA0.7885Pb0.7885I2.365MA0.1615Pb0.1615Br0.4845,0,,ITO,C,,,0.066PTAA,,Cu,one-step,spin,diethyl ether,DMF/DMSO,100.0,60.0,21.6,1.09,0.65,15.4
"STOLTERFOHT M, WOLFF C M, AMIR Y, et al. Approaching the fill factor Shockley–Queisser limit in stable, dopant-free triple cation perovskite solar cells [J]. Energy & Environmental Science, 2017, 10(6): 1530-9.",0.05,0.7885,0.1615,1.0,2.515,0.4845, Cs0.05Pb0.05I0.15FA0.7885Pb0.7885I2.365MA0.1615Pb0.1615Br0.4845,0,,ITO,C,,,0.015PTAA/PS,,Cu,one-step,spin,diethyl ether,DMF/DMSO,100.0,60.0,22.5,1.11,0.799,19.9
